,x,y
134,buyer--be very careful!!!!!.,0
135,the majority of the logitech earbud headsets failed.,0
136,very good stuff for the price.,1
137,my headset works just peachy-keen.,1
138,in my house i was getting dropped coverage upstairs and no coverage in my basement.,0
139,voice recognition is tremendous!,1
140,what a waste.,0
141,"during several different 2 minute calls, i experienced 5 drops and it was in an area that had 5 bars.",0
142,i was not happy with this item.,0
143,very disappointed.,0
144,the phone takes forever to charge like 2 to 5 hours literally.,0
145,i got this phone on reccomendation from a relative and i'm glad i did.,1
146,what a waste of time!,0
147,its reception is very very poor.,0
148,items stated as included from the description are not included.,0
149,"after 3 months, screen just went black all of a sudden.",0
150,i was hoping for more.,0
151,"audio quality is poor, very poor.",0
152,i had absolutely no problem with this headset linking to my 8530 blackberry curve!,1
153,"i know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.well, this one works great.",1
154,i've bought $5 wired headphones that sound better than these.,0
155,this phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1
156,"nice quality build, unlike some cheap s*** out there.",1
157,this item is fantastic and works perfectly!,1
158,and i just love the colors!,1
159,w810i is just superb.,1
160,"all i can do is whine on the internet, so here it goes.the more i use the thing the less i like it.",0
161,great charger.,1
162,this is essentially a communications tool that does not communicate.,0
163,works like a charm; it work the same as the one i got with the phone.,1
164,"i still maintain that monkeys shouldn't make headphones, we just obviously don't share enough dna to copy the design over to humans.",0
165,great value.,1
166,doesn't work at all.. i bougth it for my l7c and its not working.,0
167,"the look of it is very sharp and the screen is nice and clear, with great graphics.",1
168,doesn't last long.,0
169,one thing i hate is the mode set button at the side.,0
170,excellent service!!!!!!!!.,1
171,thank you for wasting my money.,0
172,how can that be?the audio quality is poor.,0
173,the igo chargers and tips are really great.,1
174,the file browser offers all the options that one needs.handsfree is great.,1
175,superb phone on a great network.,1
176,"i connected my wife's bluetooth,(motorola hs850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1
177,"i put the latest os on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0
178,it only recognizes the phone as its storage device.,0
179,"if you like a loud buzzing to override all your conversations, then this phone is for you!",0
180,don't buy this product.,0
181,i've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0
182,the sound quality is good and functionality is awesome.,1
183,"i have this phone and it is a thorn in my side, i really abhor it.",0
184,i recently had problems where i could not stay connected for more than 10 minutes before being disconnected.,0
185,incredible!.,1
186,design flaw?.,0
187,great phone!.,1
188,waste of 13 bucks.,0
189,"but when i check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then i'm lost.",0
190,the replacement died in a few weeks.,0
191,any ring tone..overall good phone to buy..,1
192,lately they have been extremely nice and helpful on the phone.,1
193,i have had problems wit hit dropping signal and more.,0
194,not impressed.,0
195,"light weight, i hardly notice it is there.",1
196,you'll love how thin it is.,1
197,bad choice.,0
198,the pleather case doesn't fit.,0
199,"useless phone, simply deaf.",0
200,"the color is even prettier than i thought it would be, and the graphics are incredibly sharp.",1
201,all in all i think it was a good investment.,1
202,it makes very strange ticking noises before it ends the call.,0
203,the best electronics of the available fm transmitters.,1
204,battery lasts only a few hours.,0
205,"great headset, very impressed - h500.",1
206,"the ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1
207,i've had this for nearly 2 years and it has worked great for me.,1
208,good transmit audio.,1
209,we are sending it back.,0
210,i did not bother contacting the company for few dollar product but i learned the lesson that i should not have bought this form online anyway.,0
211,"if you hate earbugs, avoid this phone by all means.",0
212,great price also!,1
213,"the range is very decent, i've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1
214,fast service.,1
215,i would highly recommend this.,1
216,i would recommend this.,1
217,"i also didn't like the ""on"" button, it felt like it would crack with use.",0
218,worst phone ever.,0
219,i'm still infatuated with this phone.,1
220,freezes frequently4.,0
221,it's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0
222,"simple, lightweight and great fit.",1
223,"all in all, i'd expected a better consumer experience from motorola.",0
224,there's a horrible tick sound in the background on all my calls that i have never experienced before.,0
225,these are certainly very comfortable and functionality is decent.,1
226,i usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1
227,i'm a bit disappointed.,0
228,"i have had this phone for over a year now, and i will tell you, its not that great.",0
229,i ordered this for sony ericsson w810i but i think it only worked once (thats when i first used it).,0
230,the battery is completely useless to me.,0
231,what a big waste of time.,0
232,don't waste your $$$ on this one.,0
233,great sound and service.,1
234,really pleased with this product so far.,1
235,one of my favorite purchases ever.,1
236,best bluetooth on the market.,1
237,authentic leather with nice shine and comfort .i recommend you this case !!,1
238,i was very excited to get this headset because i thought it was really cute.,1
239,do not make the same mistake as me.,0
240,big disappointment with calendar sync.,0
241,the phone was unusable and was not new.,0
242,worst customer service ever.,0
243,"no additional ear gels provided, and no instructions whatsoever.",0
244,it defeats the purpose of a bluetooth headset.,0
245,worth every penny.,1
246,excellent wallet type phone case.,1
247,nice headphones for the price and they work great!,1
248,internet is excrutiatingly slow.,0
249,"it is very comfortable to wear as well, which is probably the most important aspect about using a case.",1
250,"it's fits like a glove and is strong, secure, and durable.",1
251,o my gosh the best phone i have ever had.,1
252,it's very attractive and appears to be of good quality.,1
253,i love all the features and form factor.,1
254,this product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0
255,poor quality and service.,0
256,"the cable looks so thin and flimsy, it is scary.",0
257,great earpiece.,1
258,excellent hands free tool.,1
259,great for using with your home stereo.,1
260,good product - incredible value.,1
261,only had this a month but it's worked flawlessly so far.,1
262,works great.,1
263,absolutel junk.,0
264,that one didn't work either.,0
265,battery life is real good.,1
266,returned 8 hours later.,0
267,it's a great item.,1
268,don't waste your money!.,0
269,love this headset!,1
270,"not only will it drain your player, but may also potentially fry it.",0
271,worked perfectly!,1
272,unreliable - i'm giving up.,0
273,i gave it 5 stars because of the sound quality.,1
274,avoid this one if you can.,0
275,reversible plug works great.,1
276,i wasted my little money with this earpiece.,0
277,very good phone.,1
278,"best of all is the rotating feature, very helpful.",1
279,comfort for our whole family.,1
280,"good product, good seller.",1
281,i love this bluetooth!,1
282,"first of all, it doesn't wear well.",0
283,i am very impressed with this headset from plantronics.,1
284,i got it because it was so small and adorable.,1
285,great phone!.,1
286,i wouldn't recommend buying this product.,0
287,piece of junk.,0
288,poorly contstruct hinge.,0
289,"this item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1
290,great phone.,1
291,don't buy it.,0
292,excellent phone.,1
293,do not purchase this phone.,0
294,the voice recognition thru the handset is excellent.,1
295,this is hands down the best phone i've ever had.,1
296,"works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1
297,this one works and was priced right.,1
298,customer service was terrible.,0
299,battery life still not long enough in motorola razor v3i.,0
300,sending it back.,0
301,now i know that i made a wise decision.,1
302,someone shouldve invented this sooner.,1
303,good price.,1
304,everything worked on the first try.the device was certainly engineered in a clever way and the construction feels good.,1
305,i received it quickly and it works great!!,1
306,has been working great.,1
307,"as many people complained, i found this headset's microphone was very weak.",0
308,my 5-year old nokia 2160 from tracfone holds the charge a lot better than this.,0
309,they do not care about the consumer one bit.,0
310,"this is a good battery, and it got here really fast.",1
311,the instruction manual is lacking.,0
312,also its slim enough to fit into my alarm clock docking station without removing the case.,1
313,phone now holds charge like it did when it was new.,1
314,the battery is unreliable as well as the service use antena.,0
315,it's uncomfortable and the sound quality is quite poor compared with the phone (razr) or with my previous wired headset (that plugged into an lg).,0
316,we have gotten a lot of compliments on it.,1
317,this is definitely a must have if your state does not allow cell phone usage while driving.,1
318,i want my money back.,0
319,i love this device.,1
320,i am also very happy with the price.,1
321,i ordered this product first and was unhappy with it immediately.,0
322,the ngage is still lacking in earbuds.,0
323,i was able to do voice dialing in the car with no problem.,1
324,"i have 2-3 bars on my cell phone when i am home, but you cant not hear anything.",0
325,"good item, low price.",1
326,"however-the riingtones are not the best, and neither are the games.",0
327,the plug did not work very well.,0
328,amazon sucks.,0
329,rip off---- over charge shipping.,0
330,very comfortable.,1
331,the battery is working well as a replacement for the original that came with the phone over 2 years ago.,1
332,the reception is excellent!,1
333,"it fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1
334,"very clear, quality sound and you don't have to mess with the sound on your ipod since you have the sound buttons on the headset.",1
335,1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0
336,obviously there is a problem with the adhesive.,0
337,very disappointing.,0
338,"it was an inexpensive piece, but i would still have expected better quality.",0
339,it is practically useless and did not add any kind of boost to my reception after i bought it.,0
340,excellent sound quality.,1
341,was not happy.,0
342,a piece of junk that broke after being on my phone for 2 days!!!,0
343,new battery works great in phone.,1
344,worst customer service.,0
345,"i've dropped my phone more times than i can say, even on concrete and my phone is still great (knock on wood!).",1
346,reception is terrible and full of static.,0
347,good audio quality.,1
348,this little device has transformed my organizational capability and made my life a whole lot easier.,1
349,"i was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0
350,were jerks on the phone.,0
351,works like a charm.. works as advertised.,1
352,"comfortable, nice range, good battery life.",1
353,their network coverage in los angeles is horrible.,0
354,excellent starter wireless headset.,0
355,"the loudspeaker option is great, the bumpers with the lights is very ... appealing.",0
356,the only thing that i think could improve is the sound leaks out from the headset.,0
357,"first off the reception sucks, i have never had more than 2 bars, ever.",0
358,the phone gets extremely hot!,0
359,"the microphone also works well, but (according to people i have called) it applifies everything.",1
360,nice design and quality.,1
361,"also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0
362,"it is light, easy to use, and has very clear reception and transmission.",1
363,"bad fit, way too big.",0
364,it definitely was not as good as my s11.,1
365,awesome device.,1
366,waste of money.,0
367,"i had ordered a motorola data cable, got a very well finished and working product.",1
368,love this phone.,1
369,i was looking for this headset for a long time and now that i've got it i couldn't be happier.,1
370,"i'll be drivng along, and my headset starts ringing for no reason.",0
371,display is excellent and camera is as good as any from that year.,1
372,battery life is also great!,1
373,the worst phone i've ever had.... only had it for a few months.,0
374,not a good item.. it worked for a while then started having problems in my auto reverse tape player.,0
375,this is so embarassing and also my ears hurt if i try to push the ear plug into my ear.,0
376,protects the phone on all sides.,1
377,this is a very average phone with bad battery life that operates on a weak network.,0
378,"clear skype calls, long battery life, long range.",1
379,soyo technology sucks.,0
380,great hands free device.,1
381,"you can even take self portraits with the outside (exterior) display, very cool.",1
382,same problem as others have mentioned.,0
383,after trying many many handsfree gadgets this is the one that finally works well.,1
384,magical help.,1
385,the worst piece of crap ever along with the verizon customer service.,0
386,poor sound quality.,0
387,the best phone in market :).,1
388,it worked very well.,1
389,the company shipped my product very promptly and it works well.,1
390,exactly what i wanted.,1
391,the picture resolution is far below what other comparably-priced phones are offering today.,0
392,this is a great deal.,1
393,"excellent product, i am very satisfied with the purchase.",1
394,i highly recommend these and encourage people to give them a try.,1
395,better than you'd expect.,1
396,"using all earpieces, left or right, this thing will not stay on my ear.",0
397,great product and price.,1
398,"sounds good reasonably priced and effective, its that simple !",1
399,still waiting...... i'm sure this item would work well.. if i ever recieve it!,0
400,what a disappointment,0
401,very prompt service.,1
402,excellent product for the price.,1
403,very pleased with this headset.,1
404,don't waste your money and time.,0
405,i especially love the long battery life.,1
406,"it's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0
407,works great.,1
408,plantronics bluetooth excelent buy.,1
409,i came over from verizon because cingulair has nicer cell phones.... the first thing i noticed was the really bad service.,0
410,i'll be looking for a new earpiece.,0
411,i highly recommend this device to everyone!,1
412,jawbone era is awesome too!,1
413,we received a white colored battery that goes dead after a couple hoursthe original used to last a week - but still lasts longer than thereplacement,0
414,after a year the battery went completely dead on my headset.,0
415,"i have used several phone in two years, but this one is the best.",1
416,an awesome new look for fall 2000!.,1
417,this is the first phone i've had that has been so cheaply made.,0
418,"att is not clear, sound is very distorted and you have to yell when you talk.",0
419,the plastic breaks really easy on this clip.,0
420,price is good too.,1
421,don't make the same mistake i did.,0
422,oh and i forgot to also mention the weird color effect it has on your phone.,0
423,i'm using it with an iriver spinn (with case) and it fits fine.,1
424,also the area where my unit broke).- i'm not too fond of the magnetic strap.,0
425,"overall, i am psyched to have a phone which has all my appointments and contacts in and gets great reception.",1
426,"every thing on phone work perfectly, she like it.",1
427,"another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0
428,it's really easy.,1
429,my sanyo has survived dozens of drops on blacktop without ill effect.,1
430,fantastic earphones.,1
431,it finds my cell phone right away when i enter the car.,1
432,low quality.,0
433,i highly recommend this modest priced cellular phone.,1
434,but it does get better reception and clarity than any phone i've had before.,1
435,warning - stay away.,0
436,i wish i could return the unit and get back my money.,0
437,awsome device works great!!.,1
438,i used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0
439,"if you don't find it, too bad, as again the unit comes with one earpad only.i would not recommend this to anyone.",0
440,very displeased.,0
441,"i might have gotten a defect, but i would not risk buying it again because of the built quality alone.",0
442,they made this case too small and is very difficult to install.,0
443,restored my phone to like new performance.,1
444,"i would recommend purchasing the jabra jx-10 series 2 which works flawlessly with my moto q, go figure.",1
445,"i searched the internet, and found this one to be the best value.",1
446,does not fit.,0
447,very happy with this product.,1
448,"the screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1
449,there's really nothing bad i can say about this headset.,0
450,"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",1
451,portable and it works.,1
452,"my colleague & i now get great reception.a little expensive, but performance is great.",1
453,i even fully charged it before i went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0
454,i've also had problems with the phone reading the memory card in which i always turn it on and then off again.,0
455,not good when wearing a hat or sunglasses.,0
456,timely shipment and quality product.,1
457,nice solid keyboard.,1
458,very well made and fits my surefire gx2 perfectly.,1
459,horrible phone.,0
460,bt50 battery junk!.,0
461,we would recommend these to others.,1
462,cant get the software to work with my computer.,0
463,disappointed!.,0
464,poor voice clarity.,0
465,the battery works great!,1
466,no buyers remorse on this one!.,0
467,very disappointed in accessoryone.,0
468,i find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0
469,"looks great and is strong.""",1
470,"i have had tmobile service for 2 or 3 years now, and i am pretty happy with it.",1
471,the update procedure is difficult and cumbersome.,0
472,disappointment.. i hate anything that goes in my ear.,0
473,great software for motorolas.,1
474,the delivery was on time.,1
475,very easy to use.,1
476,"uncomfortable in the ear, don't use with lg vx9900 (env).",0
477,the volume switch rocketed out of the unit to a destination unknown.,0
478,"it holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",1
479,i'd like to return it.,0
480,the keyboard is really worthwhile in usefulness and is sturdy enough i don't expect any problems.,1
481,"verizon's bills, however, are difficult to understand even though their pricing plans are simple.",0
482,"after charging overnight, these batteries work great.",1
483,you won't regret it!,1
484,i love this phone!.,1
485,a disappointment.,0
486,its not user friendly.,0
487,unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0
488,"then i exchanged for the same phone, even that had the same problem.",0
489,this results in the phone being either stuck at max volume or mute.,0
490,this pda rocks.,1
491,"it is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",1
492,"i would definitely recommend the jabra bt250v for those who are looking for comfort, clarity and a great price!",1
493,i had verizon 2 years ago and really liked their service.,1
494,pretty piece of junk.,0
495,plug was the wrong size.,0
496,works as described.,1
497,save your money.... i've had this item for 11 months now.,0
498,bad purchase.,0
499,well im satisfied.,1
500,"the bose noise cancelling is amazing, which is very important for a nyc commuter.",1
501,this battery is an excellent bargain!,1
502,defective crap.,0
503,i would have given no star if i was able.,0
504,i wear glasses and it fits fine with them.,1
505,"the sound quality for the device is unacceptable.unless you are in a really quiet area, you almost hear nothing.",0
506,i would not recommend this item to anyone.,0
507,the holster that arrived did not match the photo in the ad.,0
508,great...no problems at all!.,1
509,"as an earlier review noted, plug in this charger and nothing happens.",0
510,this frog phone charm is adorable and very eye catching.,1
511,you never know if you pushed it hard enough or the right number of times for the function you want or not.,0
512,the sound is clear and the people i talk to on it are amazed at the quality too.,1
513,i got the aluminum case for my new palm vx and it worked really well--it has protected my handheld perfectly so far.,1
514,"very good product, well made.",1
515,mobile phone tools are a must have.,1
516,i am very impressed with the job that motorola did on the sturdiness of this phone.,1
517,"i received my orders well within the shipping timeframe, everything was in good working order and overall, i am very excited to have this source.",1
518,the phone is sturdy and waterproof.,1
519,i am not impressed with this and i would not recommend this item to anyone.,0
520,my only complaint is the standard sound volume is a little low even when turned up to 5(of 5),0
521,thanks again to amazon for having the things i need for a good price!,1
522,i ended up sliding it on the edge of my pants or back pockets instead.,1
523,i had to go to a store and bought a new nokia phone which is working great.,1
524,works great!.,1
525,really ugly.,0
526,"horrible, had to switch 3 times.",0
527,the noise shield is incrediable.,1
528,no real improvement.,0
529,razr battery - good buy.,1
530,keep up the good work amazon!!,1
531,they refuse to refund or replace.,0
532,unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,0
533,so i basically threw my money out the window for nothing.,0
534,great case and price!,1
535,all it took was one drop from about 6 inches above the kitchen counter and it was cracked.i am not impressed and i am not laughing.,0
536,"bluetooth range is good - a few days ago i left my phone in the trunk, got a call, and carried the conversation without a hitch.",1
537,"small, sleek, impressive looking, practical setup with ample storage in place.",1
538,the eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,1
539,none of the new ones have ever quite worked properly.,0
540,i am glad i purchased it.,1
541,i've missed numerous calls because of this reason.,0
542,"perhaps my phone is defective, but people cannot hear me when i use this.",0
543,don't buy this product.,0
544,"sucked, most of the stuff does not work with my phone.",0
545,"no shifting, no bubbling, no peeling, not even a scratch, nothing!i couldn't be more happier with my new one for the droid.",1
546,worst software ever used.... if i could give this zero stars i would.,0
547,trying to make a call on these is an exercise in frustration.,0
548,the case is a flimsy piece of plastic and has no front or side protection whatsoever.,0
549,"i own a jabra earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",1
550,"i love the camera, it's really pretty good quality.",1
551,thank you for such great service.,1
552,its a total package.,1
553,"the seller is very understanding and patient, i would definitely buy from them again.",1
554,i give wirefly 1 star.i will contact cingular/at&t; and inform them of this practice.,0
555,it's aggravating!,0
556,great product for the price!.,1
557,"i have purchased these for both family and friends, and all enjoy their clarity and ease of use",1
558,virgin wireless rocks and so does this cheap little phone!,1
559,"none of it works, just don't buy it.",0
560,"muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.",0
561,please dont waste your money.,0
562,"all in all, i'm quite satisfied with this purchase.",1
563,"if you are looking for a good quality motorola headset keep looking, this isn't it.",0
564,yet plantronincs continues to use the same flawed charger design.,0
565,disapointing results.,0
566,cumbersome design.,0
567,"great it was new packaged nice works good, no problems and it came in less time then i expected!!!!",1
568,great product.,1
569,it's a piece of crap!,0
570,"my experience was terrible..... this was my fourth bluetooth headset, and while it was much more comfortable than my last jabra (which i hated!!!",0
571,this fixes all the problems.,1
572,worst ever.,0
573,i am very happy,1
574,"i've had no trouble accessing the internet, downloading ringtones or performing any of the functions.",1
575,"i can barely ever hear on it and am constantly saying ""what?""",0
576,the battery life is highly unacceptable.,0
577,that company is a joke.,0
578,it does everything the description said it would.,1
579,due to this happening on every call i was forced to stop using this headset.,0
580,"it works great with a car charger, especially if you cannot plug in two adapters at the same time.",1
581,"verizon tech support walked my through a few procedures, none of which worked and i ended up having to do a hard re-set, wiping out all my data.",0
582,"voice quality, signal strength, dropped calls.",0
583,"it plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, it's not.",1
584,better than expected.,1
585,"it feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",0
586,battery is holding up well.,1
587,also difficult to put on.i'd recommend avoiding this product.,0
588,"i only used it two days, and it wasn't always easy to hear with.",0
589,i got the car charger and not even after a week the charger was broken...i went to plug it in and it started smoking.,0
590,sprint - terrible customer service.,0
591,linked to my phone without effort.,1
592,they are so cool!,1
593,easy to use.,1
594,better than new.,1
595,"what possesed me to get this junk, i have no idea...",0
596,piece of trash.,0
597,a pretty good product.,1
598,this is a great phone!.,1
599,"for the price on amazon, it is an excellent product, which i would highly recommend.",1
600,their research and development division obviously knows what they're doing.,1
601,"the real killer is the volume, and of course it breaking.",0
602,those phones are working just fine now.,1
603,i am more than happy with this product.,1
604,poor construction.,0
605,this is infuriating.,0
606,"overall, i would recommend this phone over the new walkman.",1
607,sprint charges for this service.,0
608,"it is cheap, and it feel and look just as cheap.",0
609,it fits my ear well and is comfortable on.,1
610,it doesn't work in europe or asia.,0
611,clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,1
612,i like design and look of jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,1
613,i was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,1
614,the worst phone from samsung...crap..... this crappy samsung e715.. is the worst i have ever seeen.,0
615,the charger worked for about a week and then completely stopped charging my phone.,0
616,poor product.,0
617,however i needed some better instructions.,0
618,you need two hands to operate the screen.this software interface is decade old and cannot compete with new software designs.,0
619,worked very well paired with a treo 700w and as a skype headset on my pc (using a usb bluetooth transceiver).,1
620,"steer clear of this product and go with the genuine palm replacementr pens, which come in a three-pack.",0
621,do not buy do not buyit sucks,0
622,this is a great product..... sure beats using your fingers!.,1
623,"plus, i seriously do not believe it is worth its steep price point.",0
624,all the other cases i've tried normally fall apart after a few months but this one seems to be in for the long haul.,1
625,very dissapointing performance.,0
626,don't make the same mistake that i did and please don't buy this phone.,0
627,this phone might well be the worst i've ever had in any brand.,0
628,case was more or less an extra that i originally put on but later discarded because it scratched my ear.,0
629,i recommend igo to anyone with different brand cell phones/mp3 players in the family.,1
